Mes,A�o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa�ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito
Septiembre,2015,JC,TM,EL SALTO,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,18758,22,2.65,12.24,20
Septiembre,2015,JC,TM,GUADALAJARA,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,14600,22,2.65,12.24,20
Septiembre,2015,JC,SP,GUADALAJARA,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,8500,22,2.65,12.24,6
Septiembre,2015,MS,SP,CUAUTLA,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,13348.8,22,2.65,12.24,9
Septiembre,2015,MS,TM,CUAUTLA,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,21902.864516129,22,2.65,12.24,20
Septiembre,2015,MS,TM,CUAUTLA,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,21672,22,2.65,12.24,20
Septiembre,2015,NL,SP,MONTERREY,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,12500,22,2.65,12.24,9
Septiembre,2015,NL,TM,APODACA,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,5301552,22,2.65,12.24,4
Septiembre,2015,NL,TM,GUADALUPE,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,10835.2,22,2.65,12.24,4
Septiembre,2015,PL,SP,PUEBLA,SAN LUIS POTOSI,CARRIER 2,48FT/53FT,Diesel ,Sencillo,13200,22,2.65,12.24,10
Septiembre,2015,PL,SP,PUEBLA,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,14211936,22,2.65,12.24,10
Septiembre,2015,PL,TM,PUEBLA,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,20268.9723076923,22,2.65,12.24,20
Septiembre,2015,QO,SP,QUERETARO,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,5011.2,22,2.65,12.24,4
Septiembre,2015,QO,TM,QUERETARO,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,15573.3152542373,22,2.65,12.24,16
Septiembre,2015,QO,SP,QUERETARO,SAN LUIS POTOSI,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,5127.84,22,2.65,12.24,4
Septiembre,2015,QO,TM,QUERETARO,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,15624.2071232877,22,2.65,12.24,16
